Name,Nationality,URL,Rank speed,Rank lead,Rank bouldering
Adam Ondra,CZE,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1364,102,1,2
Alberto Ginés López,ESP,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=811,86,7,55
Aleksei Rubtsov,RUS,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=79,-,-,-
Alexander Megos,GER,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2574,127,2,12
Bassa Mawem,FRA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=7613,6,130,117
Christopher Cosser,RSA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1058,60,131,85
Colin Duffy,USA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1929,54,-,38
Jakob Schubert,AUT,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1214,93,3,4
Jan Hojer,GER,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=3422,45,44,16
Jongwon Chon,KOR,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2052,62,45,29
Kai Harada,JPN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2332,56,6,23
Ludovico Fossali,ITA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=865,2,111,75
Michael Piccolruaz,ITA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=857,47,63,25
Mickael Mawem,FRA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=523,28,82,27
Nathaniel Coleman,USA,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1778,53,36,9
Rishat Khaibullin,KAZ,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=3361,16,53,69
Sean Mccoll,CAN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=1559,66,4,26
Tom O'Halloran,AUS,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2485,-,77,-
Tomoa Narasaki,JPN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2276,32,9,3
Yufei Pan,CHN,https://www.ifsc-climbing.org/index.php?option=com_ifsc&task=athlete.display&id=2947,61,21,76
